,OID,VxHx_left,VxHx_top,VxHx_right,VxHx_btm,Area_Hex,Autopista,Ferrocarril_Int_CONV,Ferrocarril_estr_vel_conv,Ferrocarril_int_AVE,Ferrocarril_vel_conv,Via calzada unica,Via doble calzada,Via doble preferente,Via unica preferente,Arboles aislados,Vertedero,arenas,bosque,humedal,pradera,roquerios,Inst_E.E,Inst_E.EO,Inst_E.HC,Inst_E.HE,Inst_E.NU,Inst_E.OF,Inst_E.SO,Inst_E.TM,Max_WSP,Min_WSP,Mean_WSP,Calz_km,Calz_cnt,TTE_cnt,LTE_km,LTE_cnt,NA_km2,Na_cnt,UA_km2,UA_cnt,Den_P,Pend_m,InEl_km2,Con_kWh_hex,Con_kWh_Mun,Centerpoint_X,Centerpoint_Y,Prediccion_Eolica
136,137,269685.8598,4555475.523,270840.5604,4554475.523,866025.4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18079293561720877,0.2911900394342315,0.33316092219784643,0.004879352566881108,0.0028653295128939827,0.03389830508474576,0.18887628444101737,0.058823529411764705,0.10900981527486059,0.3333333333333333,0.0,0.0,0.00015375153751537513,0.060626113333034345,0.0,6.221538230629659e-05,0.0023387023381090852,270263.2101,4554975.523,1
138,139,269685.8598,4553475.523,270840.5604,4552475.523,866025.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18759242321285818,0.2934583294730898,0.32201261723370966,0.0,0.0,0.0,0.0,0.0,0.2093718641814445,0.3333333333333333,0.0,0.0,0.00015375153751537513,0.23575665466450185,0.0,6.221538230629659e-05,0.0023387023381090852,270263.2101,4552975.523,1
139,140,269685.8598,4552475.523,270840.5604,4551475.523,866025.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17240988626642595,0.305978470917186,0.3222920739808608,0.0,0.0,0.0,0.0,0.0,0.3371264446060995,0.3333333333333333,0.0,0.0,0.00015375153751537513,0.3019313747978149,0.0,6.221538230629659e-05,0.0023387023381090852,270263.2101,4551975.523,1
142,143,269685.8598,4549475.523,270840.5604,4548475.523,866025.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1522908535868882,0.31269562407578033,0.3312331298299118,0.0,0.0,0.0,0.0,0.0,0.4213099800724357,0.3333333333333333,0.0,0.0,0.0002050020500205002,0.2824529869465332,0.0,5.262060381624741e-05,0.0006346889189015564,270263.2101,4548975.523,1
150,151,269685.8598,4531475.523,270840.5604,4530475.523,866025.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25819616321517447,0.28298109620750667,0.33529378883978556,0.0,0.0,0.0,0.0,0.0,0.34147066840443036,0.3333333333333333,0.0,0.0,0.00010250102501025008,0.29131974757649587,0.0,5.519087679777629e-05,0.0006918595442791818,270263.2101,4530975.523,1
178,179,270551.8852,4558975.523,271706.5858,4557975.523,866025.4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1904289229417656,0.3622970277305083,0.35139657876534347,0.03255957968528856,0.011461318051575931,0.0,0.0,0.0,0.16904560873490365,0.5,0.0,0.0,0.00015375153751537513,0.16936882507079448,0.0,6.221538230629659e-05,0.0023387023381090852,271129.2355,4558475.523,1
179,180,270551.8852,4557975.523,271706.5858,4556975.523,866025.4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19575614996684265,0.3451110376044976,0.3419356697867961,0.002444405367009903,0.0028653295128939827,0.0,0.0,0.0,0.33305305002774604,0.5,0.0,0.0,0.00015375153751537513,0.09028589677300157,0.0,6.221538230629659e-05,0.0023387023381090852,271129.2355,4557475.523,1
180,181,270551.8852,4556975.523,271706.5858,4555975.523,866025.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17003969872141333,0.34082889688317075,0.3565353568270291,0.0,0.0,0.0,0.0,0.0,0.09117485116041359,0.3333333333333333,0.0,0.0,0.00015375153751537513,0.06767197027877626,0.0,6.221538230629659e-05,0.0023387023381090852,271129.2355,4556475.523,1
181,182,270551.8852,4555975.523,271706.5858,4554975.523,866025.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18974976652323738,0.30565571492315324,0.3125243041861083,0.0,0.0,0.0,0.0,0.0,0.13681853485981815,0.3333333333333333,0.0,0.0,0.00015375153751537513,0.10746203062943908,0.0,6.221538230629659e-05,0.0023387023381090852,271129.2355,4555475.523,1
184,185,270551.8852,4552975.523,271706.5858,4551975.523,866025.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1690267848776711,0.2974945131051169,0.32331626794727364,0.0,0.0,0.0,0.0,0.0,0.25492011946886844,0.3333333333333333,0.0,0.0,0.00015375153751537513,0.14978976149182824,0.0,6.221538230629659e-05,0.0023387023381090852,271129.2355,4552475.523,1
